event_date,new,retained,total,app::multi-filter
2017-01-28,4189,156,4345,rovio_3bb4586d
2017-01-28,1886,5568,7454,BlueSteel
2017-01-28,26,36,62,tntgame_149fb4d3
2017-01-28,249,227,476,angrybirdsfortumo_7bf816e1
2017-01-28,82,110,192,abactionchina_49cba9cb
2017-01-28,6134,16546,22680,AngryBirdsClassic
2017-01-28,5856,8731,14587,Abba
2017-01-28,7534,10759,18293,AngryBirdsSpaceFull
2017-01-28,102,703,805,AngryBirdsSpaceLight
2017-01-28,808,596,1404,toonstvkidoz_c161558
2017-01-28,254,526,780,popcorn_7901fbf5
2017-01-28,867,450,1317,abactionchinaandroid_1d7ba513
2017-01-28,788,1961,2749,toonstvmade4samsung_6d2a0fc4
2017-01-28,181,1085,1266,badpiggiesodyssey_38481962
2017-01-28,13,103,116,ChannelAngryBirdsRoost
2017-01-28,3,6,9,abbakunluniosgpchina_1fffd0c2
2017-01-28,251,1330,1581,Purple
2017-01-28,83,303,386,toonstvappletv_7c3cb333
2017-01-28,216,488,704,PurpleChina
2017-01-28,527,3750,4277,ChannelRoku
2017-01-28,110,1030,1140,BadPiggiesLight
2017-01-28,1264,7615,8879,AngryBirdsClassicLight
2017-02-14,1372,3436,4808,AngryBirdsFriends
2017-02-14,3932,10440,14372,AngryBirdsClassic
2017-02-14,3788,289,4077,ChannelWeb
2017-02-14,4646,10852,15498,AngryBirdsRioFull
2017-02-14,5327,24598,29925,Toonstv
2017-02-14,3350,6167,9517,AngryBirdsSpaceFull
2017-02-14,647,5020,5667,AngryBirdsClassicLight
2017-02-14,1968,6207,8175,Crimson
2017-02-14,141,407,548,popcorn_7901fbf5
2017-02-14,24,47,71,abactionchina_49cba9cb
2017-02-14,115,263,378,PurpleChina
2017-02-14,732,2028,2760,AngryBirdsSeasonsFull
2017-02-14,4026,904,4930,rovio_3bb4586d
2017-02-14,7255,7029,14284,Abba
2017-02-14,23,23,46,tntgame_149fb4d3
2017-02-14,1700,10379,12079,ChannelSmartTv
2017-02-14,305,859,1164,AngryBirdsClassicTalkweb
2017-02-14,60,467,527,AngryBirdsSpaceLight
2017-02-14,124,756,880,Purple
2017-02-14,1010,3497,4507,BlueSteel
2017-02-14,335,226,561,abactionchinaandroid_1d7ba513
2017-02-14,33,182,215,toonstvappletv_7c3cb333
2017-02-14,54,631,685,BadPiggiesLight
2017-02-14,769,1831,2600,Gold
2017-02-14,686,667,1353,toonstvkidoz_c161558
2017-02-14,148,903,1051,AngryBirdsStarWarsLight
2017-02-14,1293,4321,5614,BadPiggiesFull
2017-02-14,2127,4443,6570,AngryBirdsStarWarsFull
2017-02-14,71,738,809,badpiggiesodyssey_38481962
2017-02-14,,5,5,abbakunluniosgpchina_1fffd0c2
2017-02-14,1465,3247,4712,Yellow
2017-02-14,143,561,704,Birdkeeper
2017-02-14,,1,1,toonstvsocialmobile_3c7ae0d6
2017-02-14,202,215,417,angrybirdsfortumo_7bf816e1
2017-02-14,2,1,3,abbafortumo_6df226f7
2017-02-14,110,636,746,purpleamazonfire_74641a18
2017-02-14,,1,1,spilgames_64ada0f8
2017-02-14,12,79,91,ChannelAngryBirdsRoost
2017-02-14,273,2472,2745,ChannelRoku
2017-02-14,424,1576,2000,toonstvmade4samsung_6d2a0fc4
2017-01-19,5128,12594,17722,AngryBirdsClassic
2017-01-19,142,383,525,PurpleChina
2017-01-19,1962,4589,6551,AngryBirdsStarWarsFull
2017-01-19,4724,372,5096,ChannelWeb
2017-01-19,4346,5756,10102,Abba
2017-01-19,5630,23939,29569,Toonstv
2017-01-19,2039,6283,8322,Crimson
2017-01-19,1535,3167,4702,Yellow
2017-01-19,513,1556,2069,toonstvmade4samsung_6d2a0fc4
2017-01-19,66,608,674,BadPiggiesLight
2017-01-19,13,71,84,ChannelAngryBirdsRoost
2017-01-19,2361,10925,13286,ChannelSmartTv
2017-01-19,1098,3360,4458,BlueSteel
2017-01-19,924,2131,3055,Gold
2017-01-19,768,2239,3007,AngryBirdsSeasonsFull
2017-01-19,1108,3188,4296,AngryBirdsFriends
2017-01-19,148,395,543,popcorn_7901fbf5
2017-01-19,10,23,33,tntgame_149fb4d3
2017-01-19,234,196,430,angrybirdsfortumo_7bf816e1
2017-01-19,69,88,157,abactionchina_49cba9cb
2017-01-19,4897,10677,15574,AngryBirdsRioFull
2017-01-19,4006,5490,9496,AngryBirdsSpaceFull
2017-01-19,37,194,231,toonstvappletv_7c3cb333
2017-01-19,524,1234,1758,AngryBirdsClassicTalkweb
2017-01-19,166,875,1041,Purple
2017-01-19,647,5443,6090,AngryBirdsClassicLight
2017-01-19,224,990,1214,AngryBirdsStarWarsLight
2017-01-19,2,1,3,abbafortumo_6df226f7
2017-01-19,975,648,1623,toonstvkidoz_c161558
