"2014-08-10","8393001"
"2014-08-11","7531666"
"2014-08-12","7434650"
"2014-08-13","7144163"
"2014-08-14","7089983"
"2014-08-15","7594894"
"2014-08-16","8166846"
"2014-08-17","7975153"
"2014-08-18","6598086"
"2014-08-19","6373679"
"2014-08-20","7435837"
"2014-08-21","7686142"
"2014-08-22","8436791"
"2014-08-23","8904318"
"2014-08-24","7296666"
"2014-08-25","7041819"
"2014-08-26","7031951"
"2014-08-27","7439004"
"2014-08-28","7197342"
"2014-08-29","7720986"
"2014-08-30","9086234"
"2014-08-31","8601331"
"2014-09-01","7126004"
"2014-09-02","5969110"
"2014-09-03","5854698"
"2014-09-04","5651445"
"2014-09-05","7088826"
"2014-09-06","10022024"
"2014-09-07","9383584"
"2014-09-08","6372090"
"2014-09-09","6077204"
"2014-09-10","6180595"
"2014-09-11","5903011"
"2014-09-12","6811988"
"2014-09-13","10092181"
"2014-09-14","9106156"
"2014-09-15","5918636"
"2014-09-16","5969780"
"2014-09-17","5686057"
"2014-09-18","5724621"
"2014-09-19","6860954"
"2014-09-20","9373284"
"2014-09-21","8704752"
"2014-09-22","5587370"
"2014-09-23","5127768"
"2014-09-24","5061529"
"2014-09-25","5012047"
"2014-09-26","6311792"
"2014-09-27","8768262"
"2014-09-28","8154234"
"2014-09-29","5388528"
"2014-09-30","5330382"
"2014-10-01","5629661"
"2014-10-02","5668071"
"2014-10-03","6171476"
"2014-10-04","7917614"
"2014-10-05","7392632"
"2014-10-06","4937600"
"2014-10-07","4988269"
"2014-10-08","4942797"
"2014-10-09","4888520"
"2014-10-10","5686918"
"2014-10-11","7530567"
"2014-10-12","7219800"
"2014-10-13","5359211"
"2014-10-14","4948583"
"2014-10-15","4758155"
"2014-10-16","4735673"
"2014-10-17","5444095"
"2014-10-18","7663519"
"2014-10-19","7832769"
"2014-10-20","5282369"
"2014-10-21","5648028"
"2014-10-22","5505041"
"2014-10-23","5344310"
"2014-10-24","5481502"
"2014-10-25","7832654"
"2014-10-26","7739259"
"2014-10-27","5136115"
"2014-10-28","5023689"
"2014-10-29","5216360"
"2014-10-30","5171444"
"2014-10-31","5430300"
"2014-11-01","7481051"
"2014-11-02","7558938"
"2014-11-03","5201317"
